Name,Sell,Where/How,Weather,Total Catches to Unlock,Spawn Rates,NH Jan,NH Feb,NH Mar,NH Apr,NH May,NH Jun,NH Jul,NH Aug,NH Sep,NH Oct,NH Nov,NH Dec,SH Jan,SH Feb,SH Mar,SH Apr,SH May,SH Jun,SH Jul,SH Aug,SH Sep,SH Oct,SH Nov,SH Dec,Color 1,Color 2,Icon Filename,Critterpedia Filename,Furniture Filename,Internal ID,Unique Entry ID,Critterpedia ID,Achieved,Timestamp
agrias butterfly,3000,Flying near flowers,Any except rain,20,5,,,,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,,,,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,,,,,,,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,Pink,Green,Ins6,InsectMiirotateha,FtrInsectMiirotateha,620,aj95rMzdbSbvZy9A2,10,False,2020-08-13
ant,80,On rotten turnips,Any weather,0,0,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Black,White,Ins26,InsectAri,FtrInsectAri,588,QZpmczZu4hW2a4Rpv,69,False,2020-08-13
Atlas moth,3000,On trees (any kind),Any weather,20,5,,,,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,,,,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,,,,,,,7 PM – 4 AM,7 PM – 4 AM,7 PM – 4 AM,Orange,Yellow,Ins10,InsectYonagunisan,FtrInsectYonagunisan,652,u2GhYQJXDCQKp7AQ8,14,False,2020-08-13
bagworm,600,Shaking trees (hardwood or cedar only),Any weather,0,50,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,All day,Brown,Blue,Ins36,InsectMinomushi,FtrInsectMinomushi,622,QvxgCm82JqHsDknY4,68,False,2020-08-13
banded dragonfly,4500,Flying near water,Any except rain,50,7,,,,,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,,,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,8 AM – 5 PM,,,,,,,8 AM – 5 PM,8 AM – 5 PM,Black,Yellow,Ins24,InsectOniyanma,FtrInsectOniyanma,635,pCFep58D6QusMSvR7,34,False,2020-08-13
bell cricket,430,On the ground,Any except rain,0,60,,,,,,,,,5 PM – 8 AM,5 PM – 8 AM,,,,,5 PM – 8 AM,5 PM – 8 AM,,,,,,,,,Black,Beige,Ins31,InsectSuzumushi,FtrInsectSuzumushi,642,d5EQqbQsip82G2CZE,21,False,2020-08-13
blue weevil beetle,800,On palm trees,Any weather,0,2,,,,,,,All day,All day,,,,,All day,All day,,,,,,,,,,,Green,Pink,Ins80,InsectHousekizoumushi,FtrInsectHousekizoumushi,3485,qocWy6r5RXjeThdYy,49,False,2020-08-13
brown cicada,250,On hardwood/cedar trees,Any weather,0,70,,,,,,,8 AM – 5 PM,8 AM – 5 PM,,,,,8 AM – 5 PM,8 AM – 5 PM,,,,,,,,,,,Brown,Green,Ins17,InsectAburazemi,FtrInsectAburazemi,582,gBLRZ2J2R2wwYWFCk,26,False,2020-08-13
centipede,300,From hitting rocks,Any weather,0,30,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,,,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,,,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,4 PM – 11 PM,Black,Orange,Ins60,InsectMukade,FtrInsectMukade,628,ubStMQwHMJJcYje38,77,False,2020-08-13
cicada shell,10,On hardwood/cedar trees,Any weather,50,1,,,,,,,All day,All day,,,,,All day,All day,,,,,,,,,,,Brown,Green,Ins69,InsectSeminonukegara,FtrInsectSeminonukegara,641,6s3MCahAroqpjGybW,31,False,2020-08-13
